timestamp,banknifty_ltp,banknifty_mid,rsi_5m,rsi_15m,ema20_5m,adx_5m,close_5m,call_strike,put_strike,raw_signal,confirmed_signal,active_trade_id,active_trade_side,active_trade_strike,active_pnl_pts
2026-08-18 14:14:00,48917.32,48917.32,51.599701001883254,68.40849578357643,48933.667418364945,17.720815556889058,48917.32,48700,49100,NO_TRADE,NO_TRADE,,,,
2026-08-18 14:15:00,48912.57,48912.57,51.599701001883254,68.40849578357643,48933.667418364945,17.720815556889058,48917.32,48700,49100,NO_TRADE,NO_TRADE,,,,
2026-08-18 14:16:00,48911.92,48911.92,51.599701001883254,68.40849578357643,48933.667418364945,17.720815556889058,48917.32,48700,49100,NO_TRADE,NO_TRADE,,,,
2026-08-18 14:17:00,48910.43,48910.43,51.599701001883254,68.40849578357643,48933.667418364945,17.720815556889058,48917.32,48700,49100,NO_TRADE,NO_TRADE,,,,
2026-08-18 14:18:00,48912.66,48912.66,51.599701001883254,68.40849578357643,48933.667418364945,17.720815556889058,48917.32,48700,49100,NO_TRADE,NO_TRADE,,,,
2026-08-18 14:19:00,48939.1,48939.1,53.42913365773395,68.40849578357643,48934.1848070921,16.705045663777145,48939.1,48700,49100,NO_TRADE,NO_TRADE,,,,
2026-08-18 14:20:00,48925.39,48925.39,53.42913365773395,68.40849578357643,48934.1848070921,16.705045663777145,48939.1,48700,49100,NO_TRADE,NO_TRADE,,,,
2026-08-18 14:21:00,48948.08,48948.08,53.42913365773395,68.40849578357643,48934.1848070921,16.705045663777145,48939.1,48700,49100,NO_TRADE,NO_TRADE,,,,
2026-08-18 14:22:00,48949.67,48949.67,53.42913365773395,68.40849578357643,48934.1848070921,16.705045663777145,48939.1,48700,49100,NO_TRADE,NO_TRADE,,,,
2026-08-18 14:23:00,48952.08,48952.08,53.42913365773395,68.40849578357643,48934.1848070921,16.705045663777145,48939.1,48800,49200,NO_TRADE,NO_TRADE,,,,
2026-08-18 14:24:00,48969.94,48969.94,55.96710547302078,68.40849578357643,48937.59006355952,16.38121962854837,48969.94,48800,49200,NO_TRADE,NO_TRADE,,,,
2026-08-18 14:25:00,48948.9,48948.9,55.96710547302078,68.40849578357643,48937.59006355952,16.38121962854837,48969.94,48700,49100,NO_TRADE,NO_TRADE,,,,
2026-08-18 14:26:00,48929.68,48929.68,55.96710547302078,68.40849578357643,48937.59006355952,16.38121962854837,48969.94,48700,49100,NO_TRADE,NO_TRADE,,,,
2026-08-18 14:27:00,48931.5,48931.5,55.96710547302078,68.40849578357643,48937.59006355952,16.38121962854837,48969.94,48700,49100,NO_TRADE,NO_TRADE,,,,
2026-08-18 14:28:00,48954.27,48954.27,55.96710547302078,68.40849578357643,48937.59006355952,16.38121962854837,48969.94,48800,49200,NO_TRADE,NO_TRADE,,,,
2026-08-18 14:29:00,48976.04,48976.04,56.47239166676235,69.9099787160086,48941.251962268136,16.080524024407364,48976.04,48800,49200,NO_TRADE,NO_TRADE,,,,
2026-08-18 14:30:00,48990.23,48990.23,56.47239166676235,69.9099787160086,48941.251962268136,16.080524024407364,48976.04,48800,49200,NO_TRADE,NO_TRADE,,,,
2026-08-18 14:31:00,49000.18,49000.18,56.47239166676235,69.9099787160086,48941.251962268136,16.080524024407364,48976.04,48800,49200,NO_TRADE,NO_TRADE,,,,
2026-08-18 14:32:00,49021.46,49021.46,56.47239166676235,69.9099787160086,48941.251962268136,16.080524024407364,48976.04,48800,49200,NO_TRADE,NO_TRADE,,,,
2026-08-18 14:33:00,49042.99,49042.99,56.47239166676235,69.9099787160086,48941.251962268136,16.080524024407364,48976.04,48800,49200,NO_TRADE,NO_TRADE,,,,
2026-08-18 14:34:00,49045.12,49045.12,61.81615302369342,69.9099787160086,48951.14415633784,16.72139062522388,49045.12,48800,49200,NO_TRADE,NO_TRADE,,,,
